time,temp,humidity,wind,precip
1945-01,0.12258064516129033,69.8252688172043,19.580645161290324,79.6
1945-02,5.428571428571429,70.98660714285714,19.032142857142855,71.7
1945-03,17.083870967741937,70.22043010752688,17.72258064516129,67.0
1945-04,18.586666666666666,67.5,19.246666666666666,96.4
1945-05,20.287096774193547,70.53494623655915,19.812903225806455,93.5
1945-06,26.98,75.48055555555555,14.45,128.5
1945-07,27.5,82.06720430107528,14.248387096774193,267.7
1945-08,27.177419354838708,76.67069892473118,13.345161290322581,128.2
1945-09,25.166666666666668,78.73333333333333,15.656666666666666,107.2
1945-10,17.593548387096774,73.81854838709677,16.896774193548385,96.4
1945-11,12.569999999999999,75.29166666666667,19.91,143.0
1945-12,2.519354838709677,74.6491935483871,18.603225806451615,84.7
1946-01,4.922580645161291,65.46236559139784,19.603225806451615,68.1
1946-02,5.914285714285714,59.05059523809524,21.32857142857143,63.1
1946-03,15.46774193548387,68.125,18.5,96.5
1946-04,15.873333333333333,62.12777777777777,19.506666666666668,49.199999999999996
1946-05,22.200000000000003,72.11559139784947,18.406451612903226,138.2
1946-06,26.063333333333333,72.08611111111112,16.08,125.0
1946-07,28.780645161290323,73.01209677419355,13.416129032258064,102.1
1946-08,25.903225806451612,76.11290322580645,13.538709677419355,129.4
1946-09,25.82,72.91527777777779,13.006666666666666,57.3
1946-10,20.68064516129032,73.29704301075269,15.983870967741936,38.9
1946-11,13.906666666666666,69.68055555555556,17.36,36.7
1946-12,7.419354838709677,64.41129032258064,18.90967741935484,66.5
1947-01,7.490322580645161,70.89516129032258,19.858064516129033,88.2
1947-02,2.442857142857143,56.639880952380956,23.339285714285715,52.300000000000004
1947-03,7.451612903225806,62.594086021505376,21.44516129032258,60.5
1947-04,16.74,67.61111111111111,20.470000000000002,98.1
1947-05,22.34193548387097,72.51478494623656,19.103225806451615,130.2
1947-06,25.740000000000002,72.81111111111112,15.546666666666665,97.7
1947-07,28.27741935483871,75.71505376344085,15.006451612903225,152.4
1947-08,29.183870967741935,77.80376344086021,12.14516129032258,83.3
1947-09,24.39333333333333,73.76111111111112,15.826666666666666,77.5
1947-10,21.93548387096774,74.30510752688173,13.080645161290322,43.0
1947-11,10.01,68.10555555555555,18.540000000000003,95.1
1947-12,4.548387096774194,62.6021505376344,17.77741935483871,33.2
1948-01,-0.4290322580645161,74.53225806451613,18.048387096774192,105.0
1948-02,4.272413793103448,71.14367816091954,17.913793103448278,62.6
1948-03,12.096774193548388,68.06317204301075,20.19677419354839,90.1
1948-04,16.033333333333335,66.68194444444444,19.53666666666667,91.7
1948-05,21.135483870967743,75.40188172043011,18.106451612903225,177.4
1948-06,26.790000000000003,76.27916666666667,14.546666666666665,120.4
1948-07,29.516129032258064,74.4247311827957,13.903225806451612,90.10000000000001
1948-08,28.200000000000003,78.03360215053763,13.496774193548386,144.7
1948-09,25.083333333333332,67.57916666666667,12.936666666666667,49.4
1948-10,17.05806451612903,70.58602150537634,17.51290322580645,49.3
1948-11,14.7,76.49166666666666,17.826666666666664,112.1
1948-12,6.438709677419355,74.78494623655915,18.31935483870968,159.6
1949-01,8.135483870967741,72.81182795698925,17.351612903225806,129.8
1949-02,8.482142857142858,70.2827380952381,19.114285714285717,96.3
1949-03,11.490322580645161,62.54301075268817,20.41290322580645,71.5
1949-04,17.01,65.14027777777777,19.723333333333336,92.2
1949-05,23.15806451612903,71.74462365591398,16.5258064516129,84.9
1949-06,29.08,66.69305555555556,16.73,13.299999999999999
1949-07,31.700000000000003,71.03629032258064,15.138709677419355,75.6
1949-08,29.780645161290323,70.15322580645162,12.98709677419355,75.0
1949-09,23.753333333333334,66.83333333333333,16.433333333333334,52.5
1949-10,21.10967741935484,70.59005376344085,14.94516129032258,64.4
1949-11,11.773333333333333,69.35833333333333,17.473333333333336,25.5
1949-12,7.590322580645162,69.53091397849462,18.03548387096774,54.4
1950-01,10.832258064516129,71.88575268817205,18.370967741935484,62.8
1950-02,5.0,66.4375,19.821428571428573,83.2
1950-03,8.164516129032258,59.479838709677416,23.87741935483871,104.6
1950-04,14.853333333333333,61.74861111111111,19.96333333333333,57.0
1950-05,20.53548387096774,75.92069892473118,16.15483870967742,100.9
1950-06,26.083333333333332,70.47083333333333,16.196666666666665,75.7
1950-07,28.183870967741935,71.3763440860215,14.738709677419354,107.10000000000001
1950-08,27.19677419354839,73.63037634408602,13.790322580645162,69.2
1950-09,21.813333333333333,77.1,14.053333333333335,90.0
1950-10,19.480645161290322,75.13306451612904,14.770967741935483,46.9
1950-11,12.639999999999999,69.01527777777778,19.626666666666665,135.79999999999998
1950-12,4.703225806451614,69.17069892473118,18.274193548387096,105.2
1951-01,6.754838709677419,69.51344086021506,19.312903225806455,77.1
1951-02,6.882142857142857,64.16815476190476,18.82857142857143,80.6
1951-03,10.174193548387098,66.65322580645162,21.509677419354837,108.0
1951-04,16.68,65.825,20.07,84.3
1951-05,22.406451612903226,66.98655913978494,17.125806451612902,113.2
1951-06,25.346666666666668,76.40972222222221,15.233333333333333,109.5
1951-07,29.116129032258065,72.04166666666666,14.348387096774195,72.9
1951-08,27.948387096774194,72.02016129032258,13.080645161290322,44.5
1951-09,24.923333333333336,68.32916666666667,15.316666666666666,37.3
1951-10,19.480645161290322,72.30376344086021,16.238709677419354,66.60000000000001
1951-11,9.926666666666668,69.07638888888889,18.46333333333333,184.6
1951-12,7.445161290322581,70.15994623655915,19.541935483870965,110.4
1952-01,6.551612903225807,69.74193548387096,19.76451612903226,138.1
1952-02,6.7620689655172415,61.61925287356321,19.775862068965516,47.0
